event_num,pdg,E,px,py,pz,polx,poly,polz
2,16,10,0,0,10,0,0,0
2,1000080160,14.8951,0,0,0,0,0,0
2,15,9.04549,-0.663836,-0.398303,8.8354,0.0748469,0.0449083,-0.996183
5,16,10,0,0,10,0,0,0
5,1000080160,14.8951,0,0,0,0,0,0
5,15,9.30853,0.534583,0.972609,9.06971,0,0,0
6,16,10,0,0,10,0,0,0
6,1000080160,14.8951,0,0,0,0,0,0
6,15,3.29097,-0.334734,0.268177,2.73665,0.12084,-0.0968126,-0.98794
7,16,10,0,0,10,0,0,0
7,1000080160,14.8951,0,0,0,0,0,0
7,15,9.18336,-0.330177,0.56851,8.98581,0.0366463,-0.0630989,-0.997334
8,16,10,0,0,10,0,0,0
8,1000080160,14.8951,0,0,0,0,0,0
8,15,7.03778,0.574205,0.410912,6.77308,-0.0843206,-0.0603414,-0.99461
9,16,10,0,0,10,0,0,0
9,1000080160,14.8951,0,0,0,0,0,0
9,15,6.20775,0.513936,-0.201124,5.92236,-0.0864045,0.0338136,-0.995686
11,16,10,0,0,10,0,0,0
11,1000080160,14.8951,0,0,0,0,0,0
11,15,7.79854,0.719823,0.205588,7.55643,-0.0947956,-0.0270745,-0.995129
13,16,10,0,0,10,0,0,0
13,1000080160,14.8951,0,0,0,0,0,0
13,15,6.40843,-0.210457,-0.282742,6.14707,0.0341808,0.0459208,-0.99836
15,16,10,0,0,10,0,0,0
15,1000080160,14.8951,0,0,0,0,0,0
15,15,9.41368,-0.739271,0.385219,9.20681,0,0,0
20,16,10,0,0,10,0,0,0
20,1000080160,14.8951,0,0,0,0,0,0
20,15,7.44124,0.744996,-0.0266948,7.18743,-0.1031,0.00369427,-0.994664
24,16,10,0,0,10,0,0,0
24,1000080160,14.8951,0,0,0,0,0,0
24,15,5.78573,1.43081,0.147918,5.31491,-0.259858,-0.0268642,-0.965273
25,16,10,0,0,10,0,0,0
25,1000080160,14.8951,0,0,0,0,0,0
25,15,7.96549,-0.508803,-0.434988,7.73587,0.065527,0.0560206,-0.996277
26,16,10,0,0,10,0,0,0
26,1000080160,14.8951,0,0,0,0,0,0
26,15,6.81787,-0.345748,0.107874,6.57229,0.0525272,-0.0163886,-0.998485
27,16,10,0,0,10,0,0,0
27,1000080160,14.8951,0,0,0,0,0,0
27,15,8.10165,-0.542675,-0.811922,7.84383,0.0686549,0.102718,-0.992338
30,16,10,0,0,10,0,0,0
30,1000080160,14.8951,0,0,0,0,0,0
30,15,9.84657,-0.0292096,-0.349136,9.67858,0,0,0
32,16,10,0,0,10,0,0,0
32,1000080160,14.8951,0,0,0,0,0,0
32,15,6.92524,0.727839,0.475729,6.63669,-0.10874,-0.0710742,-0.991526
33,16,10,0,0,10,0,0,0
33,1000080160,14.8951,0,0,0,0,0,0
33,15,6.7959,0.112439,0.158012,6.55663,-0.0171413,-0.0240891,-0.999563
36,16,10,0,0,10,0,0,0
36,1000080160,14.8951,0,0,0,0,0,0
36,15,9.87311,0.0779959,0.422132,9.70241,0,0,0
38,16,10,0,0,10,0,0,0
38,1000080160,14.8951,0,0,0,0,0,0
38,15,8.33154,-0.227219,-0.0369465,8.13661,0.0279144,0.00453896,-0.9996
40,16,10,0,0,10,0,0,0
40,1000080160,14.8951,0,0,0,0,0,0
40,15,8.6487,0.76667,0.104027,8.42877,-0.0905779,-0.0122902,-0.995814
42,16,10,0,0,10,0,0,0
42,1000080160,14.8951,0,0,0,0,0,0
42,15,7.4182,-0.659073,0.0326599,7.17196,0.0915094,-0.00453468,-0.995794
45,16,10,0,0,10,0,0,0
45,1000080160,14.8951,0,0,0,0,0,0
45,15,6.07106,0.442598,0.650484,5.75165,-0.0762415,-0.112052,-0.990773
48,16,10,0,0,10,0,0,0
48,1000080160,14.8951,0,0,0,0,0,0
48,15,9.75398,0.137577,0.0651657,9.58956,0,0,0
49,16,10,0,0,10,0,0,0
49,1000080160,14.8951,0,0,0,0,0,0
49,15,9.94436,-0.189786,-0.149538,9.78134,0,0,0
50,16,10,0,0,10,0,0,0
50,1000080160,14.8951,0,0,0,0,0,0
50,15,8.62159,0.631851,-0.40418,8.40309,-0.0748949,0.0479085,-0.99604
58,16,10,0,0,10,0,0,0
58,1000080160,14.8951,0,0,0,0,0,0
58,15,8.13566,0.355976,0.582468,7.90985,-0.0448375,-0.0733655,-0.996297
59,16,10,0,0,10,0,0,0
59,1000080160,14.8951,0,0,0,0,0,0
59,15,4.65705,0.0303585,0.912218,4.20688,-0.00705232,-0.21191,-0.977264
60,16,10,0,0,10,0,0,0
60,1000080160,14.8951,0,0,0,0,0,0
60,15,9.11193,-0.0678178,0.69144,8.90996,0.00758842,-0.0773682,-0.996974
62,16,10,0,0,10,0,0,0
62,1000080160,14.8951,0,0,0,0,0,0
62,15,7.64606,0.14969,0.785844,7.39358,-0.0201285,-0.105671,-0.994197
63,16,10,0,0,10,0,0,0
63,1000080160,14.8951,0,0,0,0,0,0
63,15,7.51646,-0.529339,-1.06982,7.20522,0.0724783,0.146481,-0.986555
64,16,10,0,0,10,0,0,0
64,1000080160,14.8951,0,0,0,0,0,0
64,15,9.44932,-0.642045,-0.426548,9.24869,0,0,0
66,16,10,0,0,10,0,0,0
66,1000080160,14.8951,0,0,0,0,0,0
66,15,6.65642,-0.0282544,-0.910335,6.34989,0.00440451,0.14191,-0.98987
68,16,10,0,0,10,0,0,0
68,1000080160,14.8951,0,0,0,0,0,0
68,15,9.58101,0.390339,-0.218092,9.40418,0,0,0
69,16,10,0,0,10,0,0,0
69,1000080160,14.8951,0,0,0,0,0,0
69,15,9.27759,0.718387,0.470546,9.06526,-0.078893,-0.0516751,-0.995543
73,16,10,0,0,10,0,0,0
73,1000080160,14.8951,0,0,0,0,0,0
73,15,6.68402,0.17638,1.0815,6.34966,-0.0273732,-0.167843,-0.985434
74,16,10,0,0,10,0,0,0
74,1000080160,14.8951,0,0,0,0,0,0
74,15,5.45693,0.643434,-1.20585,4.97522,-0.124708,0.233713,-0.964275
75,16,10,0,0,10,0,0,0
75,1000080160,14.8951,0,0,0,0,0,0
75,15,8.36053,0.37082,0.333429,8.1543,-0.0453906,-0.0408137,-0.998135
77,16,10,0,0,10,0,0,0
77,1000080160,14.8951,0,0,0,0,0,0
77,15,8.88961,0.612701,-0.385877,8.68007,-0.0703428,0.0443016,-0.996539
82,16,10,0,0,10,0,0,0
82,1000080160,14.8951,0,0,0,0,0,0
82,15,9.73046,0.19682,0.598666,9.54607,0,0,0
84,16,10,0,0,10,0,0,0
84,1000080160,14.8951,0,0,0,0,0,0
84,15,9.765,-0.132612,0.0922313,9.60061,0,0,0
85,16,10,0,0,10,0,0,0
85,1000080160,14.8951,0,0,0,0,0,0
85,15,6.31046,-0.752103,0.4996,5.98744,0.124209,-0.0825085,-0.98882
88,16,10,0,0,10,0,0,0
88,1000080160,14.8951,0,0,0,0,0,0
88,15,6.1315,-0.687393,0.0939832,5.82724,0.117135,-0.0160151,-0.992987
93,16,10,0,0,10,0,0,0
93,1000080160,14.8951,0,0,0,0,0,0
93,15,6.93315,-0.866862,0.0620712,6.645,0.129352,-0.00926215,-0.991556
96,16,10,0,0,10,0,0,0
96,1000080160,14.8951,0,0,0,0,0,0
96,15,7.59418,0.736623,0.72838,7.31035,-0.0997677,-0.0986512,-0.990108
98,16,10,0,0,10,0,0,0
98,1000080160,14.8951,0,0,0,0,0,0
98,15,8.98564,-0.509224,-0.481739,8.78027,0.0578125,0.054692,-0.996828
100,16,10,0,0,10,0,0,0
100,1000080160,14.8951,0,0,0,0,0,0
100,15,9.49851,-0.437825,-0.6014,9.30114,0,0,0
102,16,10,0,0,10,0,0,0
102,1000080160,14.8951,0,0,0,0,0,0
102,15,9.30949,-0.764193,0.495924,9.09283,0,0,0
103,16,10,0,0,10,0,0,0
103,1000080160,14.8951,0,0,0,0,0,0
103,15,6.61066,0.298096,-0.4048,6.34751,-0.0468161,0.063574,-0.996878
106,16,10,0,0,10,0,0,0
106,1000080160,14.8951,0,0,0,0,0,0
106,15,9.92919,0.0159172,0.231634,9.76615,0,0,0
108,16,10,0,0,10,0,0,0
108,1000080160,14.8951,0,0,0,0,0,0
108,15,8.62408,0.0279779,-0.861624,8.3949,-0.00331529,0.1021,-0.994769
109,16,10,0,0,10,0,0,0
109,1000080160,14.8951,0,0,0,0,0,0
109,15,7.64406,-0.831293,-0.498862,7.3712,0.111813,0.0670993,-0.991461
112,16,10,0,0,10,0,0,0
112,1000080160,14.8951,0,0,0,0,0,0
112,15,9.82682,0.19369,-0.575227,9.64576,0,0,0
114,16,10,0,0,10,0,0,0
114,1000080160,14.8951,0,0,0,0,0,0
