# ice_absorption,ice_absorption_expslope,ice_scattering,offset,opt_eff_headon,opt_eff_lateral,opt_eff_overall,opt_eff_overall_expslope,pid,reco_coszen,reco_energy
0.000008,86.308005,-0.223312,0.294694,-0.253236,0.001997,0.606384,-9.634713,0,-0.900,6.6
0.235331,11.527638,0.255139,0.865584,0.054179,0.065061,0.986339,-7.486009,0,-0.700,6.6
0.536667,8.560792,2.447544,0.674702,0.048977,-0.055762,0.025097,-18.917105,0,-0.500,6.6
0.733099,10.165396,0.974373,0.719065,0.053504,0.002575,2.820994,-4.718624,0,-0.300,6.6
0.049934,27.348284,-1.302686,0.677487,0.082472,0.009294,6.999776,-2.489503,0,-0.100,6.6
1.348197,4.508227,-0.704828,1.066510,0.047951,-0.019089,1.116274,-7.443063,0,0.100,6.6
0.451438,15.514000,-3.258139,1.033146,-0.042278,-0.126442,27.114431,-1.218045,0,0.300,6.6
0.361603,10.052994,0.127589,0.433844,0.106578,-0.008508,16.264755,-1.414720,0,0.500,6.6
286.297807,0.014835,1.768297,0.567008,-0.008255,-0.080241,2.607425,-6.703096,0,0.700,6.6
0.000000,3.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-7.000000,0,0.900,6.6
0.968112,8.022036,1.940443,0.956252,0.100814,0.026015,3.623905,-4.227028,0,-0.900,8.7
1.440082,8.975795,-1.723607,0.846966,-0.160614,-0.096364,3.616494,-5.850634,0,-0.700,8.7
0.766768,9.089933,-2.046470,0.715422,-0.015328,-0.004134,0.351557,-10.998556,0,-0.500,8.7
0.375407,12.974126,-1.193816,0.770317,0.053994,0.028469,0.562367,-8.672412,0,-0.300,8.7
0.009345,40.326024,-0.909059,1.136200,0.094506,-0.014209,0.518451,-9.997531,0,-0.100,8.7
1.406770,9.748824,-1.382506,1.013557,-0.320855,-0.074849,1.159968,-9.799701,0,0.100,8.7
169.891947,0.025385,-0.200986,0.998691,-0.064489,-0.074785,1.063492,-8.745014,0,0.300,8.7
0.753779,7.972100,-1.983459,0.483151,-0.001760,0.012885,4.629013,-2.863828,0,0.500,8.7
0.775993,4.281355,-0.541446,0.709577,-0.003969,-0.016763,0.358339,-9.052678,0,0.700,8.7
6.395238,1.868872,-1.985783,0.607453,0.009842,-0.044273,0.688219,-6.740177,0,0.900,8.7
0.898065,8.381197,-1.016178,0.733182,0.027326,-0.017943,0.940642,-8.025751,0,-0.900,11.7
0.000121,78.968075,-1.633489,0.641438,0.058400,-0.016055,1.517360,-6.323986,1,-0.900,11.7
1.437490,5.678674,-0.081203,0.972422,0.053696,0.016789,0.475589,-10.044691,0,-0.700,11.7
1.690787,7.081956,-1.473647,1.654626,0.197337,-0.035641,0.312739,-14.500541,1,-0.700,11.7
1.655495,5.511256,0.166371,1.006551,-0.028767,0.002418,0.923681,-9.458486,0,-0.500,11.7
1.337271,14.346403,-8.456014,1.039045,-0.823596,-0.157541,5.020716,-8.943110,1,-0.500,11.7
0.730457,10.959549,-1.507396,1.084704,0.050887,-0.008409,0.395627,-11.549368,0,-0.300,11.7
1.969282,7.858329,-0.665233,1.292716,-0.254106,-0.024432,1.632522,-9.466884,1,-0.300,11.7
0.964580,7.160311,-1.660207,0.643755,0.064816,-0.006545,0.554292,-9.115241,0,-0.100,11.7
0.008044,43.981908,-1.248680,1.242434,0.068571,0.012271,3.598740,-5.379725,1,-0.100,11.7
0.585608,11.036162,-2.670505,0.828009,0.105611,0.014758,0.642685,-8.532183,0,0.100,11.7
897.068197,0.028701,3.025389,1.415056,-0.218035,-0.032046,5.835808,-5.435408,1,0.100,11.7
1.693484,4.519642,-1.564248,0.786679,-0.048793,-0.022669,0.362166,-10.755203,0,0.300,11.7
0.000000,3.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-7.000000,1,0.300,11.7
