# ice_absorption,ice_scattering,offset,opt_eff_headon,opt_eff_lateral,opt_eff_overall,coin_fraction,pid,reco_coszen,reco_energy
-0.468725,1.328206,1.030152,-0.038883,0.001369,0.552343,-0.063451,0,-0.900,6.6
-0.173297,1.410307,0.967640,-0.041392,0.003881,0.835921,0.002874,0,-0.700,6.6
0.073895,1.015898,1.003750,-0.050966,0.004209,1.015366,0.019388,0,-0.500,6.6
0.082801,0.675799,0.976490,-0.036358,0.005906,1.081585,0.051863,0,-0.300,6.6
-0.009261,0.198340,1.002309,-0.015533,-0.002144,1.107394,0.027918,0,-0.100,6.6
0.079564,-0.189526,1.003135,-0.000654,0.000169,0.989890,-0.009095,0,0.100,6.6
-0.036518,-0.464491,1.008501,0.018240,-0.001050,1.371699,-0.029024,0,0.300,6.6
-0.132606,-0.447424,1.013612,0.027492,-0.003205,1.095713,0.035470,0,0.500,6.6
-0.073884,-0.565218,1.035824,0.046991,-0.007047,1.216235,0.011634,0,0.700,6.6
-0.363445,-0.760081,0.996849,0.037272,-0.007209,0.959296,-0.033729,0,0.900,6.6
-0.072130,1.176658,0.992746,-0.048577,0.006723,1.209098,0.003127,0,-0.900,8.7
-0.349346,0.786321,1.012791,-0.042919,0.002752,1.019411,0.028772,0,-0.700,8.7
0.023903,0.641427,1.004693,-0.038862,0.003291,0.940540,-0.014133,0,-0.500,8.7
-0.179527,0.547312,0.983743,-0.037539,0.000584,1.099135,0.033142,0,-0.300,8.7
-0.187236,-0.129600,0.991151,-0.017234,0.000000,1.218714,0.007272,0,-0.100,8.7
-0.042669,-0.070061,1.004170,-0.003246,-0.000799,1.063347,0.008701,0,0.100,8.7
-0.057616,-0.137648,0.982600,0.019441,-0.004473,1.162777,-0.007932,0,0.300,8.7
-0.138883,-0.487738,1.000014,0.027504,-0.002678,1.183808,-0.008649,0,0.500,8.7
-0.293839,-0.589956,0.992498,0.034135,-0.002555,1.022116,0.018038,0,0.700,8.7
-0.177557,-0.834400,0.994736,0.038770,-0.006789,1.115234,0.013921,0,0.900,8.7
-0.572108,2.416314,0.986104,-0.042884,0.002596,0.970903,-0.038912,0,-0.900,11.7
-1.130595,4.205977,0.950922,-0.018845,0.011815,1.179917,-0.070206,1,-0.900,11.7
-0.332971,0.965545,0.986518,-0.040316,0.004800,1.171232,0.041421,0,-0.700,11.7
-0.070310,0.522270,1.045019,-0.045079,0.005383,1.045469,0.025529,1,-0.700,11.7
-0.121616,0.833115,0.994435,-0.039126,0.005608,1.330039,0.008122,0,-0.500,11.7
-0.053524,1.074670,1.040591,-0.016065,0.002396,0.592601,-0.046306,1,-0.500,11.7
-0.154312,0.011562,1.026768,-0.031768,0.000370,1.075301,-0.018570,0,-0.300,11.7
0.905400,0.384239,0.995821,-0.035543,0.001463,1.390832,-0.011505,1,-0.300,11.7
-0.421013,0.327769,0.988265,-0.022614,0.000772,1.332823,-0.018112,0,-0.100,11.7
-0.417012,1.079534,1.049165,-0.003860,-0.000679,1.406024,-0.076442,1,-0.100,11.7
-0.271179,-0.371257,0.999615,-0.005407,-0.001661,1.198123,-0.033141,0,0.100,11.7
-0.583922,0.412644,0.994376,-0.006282,0.002019,1.196001,-0.145795,1,0.100,11.7
-0.213111,-0.515903,0.992770,0.014537,-0.003268,1.460273,0.005875,0,0.300,11.7
-0.374570,0.217395,0.934763,0.029266,-0.010130,1.395758,0.018742,1,0.300,11.7
-0.002640,-0.620481,0.991843,0.035953,-0.005891,1.275001,0.002333,0,0.500,11.7
-0.717492,0.371257,1.076289,0.053724,-0.003682,1.682130,-0.057346,1,0.500,11.7
-0.439943,-0.654608,1.004005,0.036055,-0.002694,1.197203,-0.047209,0,0.700,11.7
-0.866658,0.079860,0.980899,0.046441,0.002015,1.507358,0.020686,1,0.700,11.7
-0.419984,-0.840709,1.011027,0.040949,-0.007880,1.335751,0.020917,0,0.900,11.7
-1.114984,-0.556168,0.913854,0.061246,-0.010911,0.804439,-0.095306,1,0.900,11.7
-0.453555,2.005318,0.983715,-0.045258,0.009653,1.288628,-0.056713,0,-0.900,15.6
-0.211884,1.429947,1.007252,-0.016055,-0.000711,1.870394,0.011508,1,-0.900,15.6
-0.271520,1.358978,1.001777,-0.040966,0.004971,1.291002,0.011113,0,-0.700,15.6
-1.158700,0.808393,1.047500,-0.037476,0.018081,2.042826,0.007079,1,-0.700,15.6
0.046196,0.699442,1.005765,-0.037432,0.005694,0.961686,-0.045253,0,-0.500,15.6
