# ice_absorption,ice_scattering,offset,opt_eff_headon,opt_eff_lateral,opt_eff_overall,coin_fraction,pid,reco_coszen,reco_energy
2.797369,0.292859,0.737724,-0.011206,-0.031152,2.713373,-0.197562,0,-0.900,6.6
-0.326938,1.436112,0.998477,-0.066748,0.030611,-0.439582,-0.308382,0,-0.700,6.6
0.566234,0.650967,1.118138,-0.082624,0.003508,1.255167,-0.030672,0,-0.500,6.6
2.003591,0.490851,1.195824,-0.039371,0.005619,0.041824,0.030787,0,-0.300,6.6
0.328568,0.531332,0.965724,-0.009271,0.001019,0.010808,-0.036925,0,-0.100,6.6
0.728604,-0.185540,1.021933,-0.024976,-0.001356,-0.174555,-0.008296,0,0.100,6.6
-0.302941,0.789217,0.988377,-0.001839,0.002182,-0.015178,-0.046717,0,0.300,6.6
0.806914,-1.194098,0.991904,0.012086,0.005105,0.227271,-0.060163,0,0.500,6.6
0.385008,-0.918889,1.068791,0.030036,-0.002423,0.016882,0.024086,0,0.700,6.6
0.024080,-1.248788,0.958576,0.032591,-0.006337,-0.053191,0.014173,0,0.900,6.6
-1.592100,1.295294,0.770078,-0.039156,0.001235,0.883683,-0.049886,0,-0.900,8.7
-1.145180,2.191167,1.012383,-0.059147,0.003182,0.807106,0.270305,0,-0.700,8.7
0.798665,1.183145,0.910747,-0.037939,0.002431,-0.073652,0.110856,0,-0.500,8.7
-0.168002,0.764363,0.942501,-0.054937,0.002402,0.957577,0.023106,0,-0.300,8.7
0.100273,0.439585,1.000022,-0.037622,0.001773,0.682025,0.030571,0,-0.100,8.7
0.259493,0.467132,1.036946,-0.015212,0.005061,0.720733,-0.011003,0,0.100,8.7
-0.179998,-0.345737,0.974298,-0.015656,-0.000244,0.360069,-0.152518,0,0.300,8.7
0.266548,-0.570738,0.992607,0.024299,-0.000998,0.434760,-0.056776,0,0.500,8.7
0.162426,-0.453870,1.000134,0.021591,-0.005219,0.355513,0.024825,0,0.700,8.7
0.369814,-1.093519,0.958573,0.036764,-0.003396,0.037138,-0.077395,0,0.900,8.7
-0.779863,0.210130,0.982600,0.001397,0.001317,0.616035,-0.620646,0,-0.900,11.7
-2.675830,4.680452,0.714959,0.046512,0.009916,1.411200,0.414017,1,-0.900,11.7
-1.700772,0.925255,0.955053,-0.039378,-0.000739,-0.009658,0.290512,0,-0.700,11.7
0.946214,2.381769,1.008494,-0.125132,-0.016538,-0.264957,-0.142733,1,-0.700,11.7
0.204576,0.838811,1.028044,-0.039091,0.003871,0.268613,0.019852,0,-0.500,11.7
-2.484606,3.480352,0.897012,-0.049776,0.008824,0.960787,-0.412254,1,-0.500,11.7
-0.461127,1.575475,0.916047,-0.032212,0.009887,0.668135,0.021442,0,-0.300,11.7
2.082393,-0.882514,0.976753,-0.008016,-0.010573,1.414250,-0.423745,1,-0.300,11.7
-0.505384,0.759032,0.951650,-0.033518,0.003659,0.919447,0.104914,0,-0.100,11.7
-0.512514,0.363529,1.043862,-0.038649,0.000127,1.818927,-0.110610,1,-0.100,11.7
0.148489,-0.365399,0.989900,-0.022162,0.001841,0.281183,0.282353,0,0.100,11.7
-0.820931,-1.389677,0.957654,-0.039540,-0.001069,0.400182,-0.109884,1,0.100,11.7
-0.026446,-0.008612,0.983533,-0.008009,-0.001972,0.198012,0.002457,0,0.300,11.7
-1.125983,0.902075,0.899485,0.013797,-0.004631,0.604584,0.083709,1,0.300,11.7
0.113145,-0.586447,0.980963,0.011497,0.000752,0.366836,-0.007305,0,0.500,11.7
-0.172010,0.609671,1.046383,0.006501,-0.001597,1.083834,0.079598,1,0.500,11.7
-0.029274,-1.015253,1.027920,0.022184,-0.005687,0.441430,-0.076456,0,0.700,11.7
0.651885,-1.504086,1.086580,0.041415,0.002513,0.470295,0.309186,1,0.700,11.7
0.457474,-1.035567,0.964963,0.015961,-0.003671,0.288011,0.009731,0,0.900,11.7
-1.030995,-2.006045,1.073027,0.053206,0.010050,0.566825,0.127919,1,0.900,11.7
-1.720012,0.156457,0.982461,-0.054421,0.019727,0.536443,0.034910,0,-0.900,15.6
-3.815975,-0.420149,0.707728,-0.061551,0.020735,0.455765,0.676389,1,-0.900,15.6
