count,pid,reco_coszen,reco_energy
254.0,0,-0.875,6.6
196.0,1,-0.875,6.6
418.0,0,-0.625,6.6
210.0,1,-0.625,6.6
447.0,0,-0.375,6.6
242.0,1,-0.375,6.6
429.0,0,-0.125,6.6
224.0,1,-0.125,6.6
360.0,0,0.125,6.6
177.0,1,0.125,6.6
217.0,0,0.375,6.6
97.0,1,0.375,6.6
100.0,0,0.625,6.6
67.0,1,0.625,6.6
31.0,0,0.875,6.6
43.0,1,0.875,6.6
338.0,0,-0.875,8.7
176.0,1,-0.875,8.7
480.0,0,-0.625,8.7
171.0,1,-0.625,8.7
623.0,0,-0.375,8.7
247.0,1,-0.375,8.7
600.0,0,-0.125,8.7
206.0,1,-0.125,8.7
531.0,0,0.125,8.7
197.0,1,0.125,8.7
380.0,0,0.375,8.7
136.0,1,0.375,8.7
210.0,0,0.625,8.7
103.0,1,0.625,8.7
93.0,0,0.875,8.7
66.0,1,0.875,8.7
406.0,0,-0.875,11.7
216.0,1,-0.875,11.7
533.0,0,-0.625,11.7
194.0,1,-0.625,11.7
736.0,0,-0.375,11.7
253.0,1,-0.375,11.7
773.0,0,-0.125,11.7
281.0,1,-0.125,11.7
679.0,0,0.125,11.7
269.0,1,0.125,11.7
609.0,0,0.375,11.7
204.0,1,0.375,11.7
408.0,0,0.625,11.7
167.0,1,0.625,11.7
229.0,0,0.875,11.7
118.0,1,0.875,11.7
395.0,0,-0.875,15.6
177.0,1,-0.875,15.6
550.0,0,-0.625,15.6
208.0,1,-0.625,15.6
668.0,0,-0.375,15.6
262.0,1,-0.375,15.6
778.0,0,-0.125,15.6
336.0,1,-0.125,15.6
728.0,0,0.125,15.6
374.0,1,0.125,15.6
669.0,0,0.375,15.6
299.0,1,0.375,15.6
533.0,0,0.625,15.6
202.0,1,0.625,15.6
366.0,0,0.875,15.6
175.0,1,0.875,15.6
350.0,0,-0.875,20.7
182.0,1,-0.875,20.7
460.0,0,-0.625,20.7
212.0,1,-0.625,20.7
573.0,0,-0.375,20.7
326.0,1,-0.375,20.7
679.0,0,-0.125,20.7
464.0,1,-0.125,20.7
733.0,0,0.125,20.7
421.0,1,0.125,20.7
675.0,0,0.375,20.7
392.0,1,0.375,20.7
530.0,0,0.625,20.7
265.0,1,0.625,20.7
418.0,0,0.875,20.7
216.0,1,0.875,20.7
239.0,0,-0.875,27.7
133.0,1,-0.875,27.7
302.0,0,-0.625,27.7
217.0,1,-0.625,27.7
430.0,0,-0.375,27.7
342.0,1,-0.375,27.7
498.0,0,-0.125,27.7
496.0,1,-0.125,27.7
560.0,0,0.125,27.7
454.0,1,0.125,27.7
538.0,0,0.375,27.7
360.0,1,0.375,27.7
429.0,0,0.625,27.7
267.0,1,0.625,27.7
307.0,0,0.875,27.7
177.0,1,0.875,27.7
136.0,0,-0.875,36.9
121.0,1,-0.875,36.9
216.0,0,-0.625,36.9
224.0,1,-0.625,36.9
297.0,0,-0.375,36.9
295.0,1,-0.375,36.9
390.0,0,-0.125,36.9
389.0,1,-0.125,36.9
409.0,0,0.125,36.9
427.0,1,0.125,36.9
348.0,0,0.375,36.9
315.0,1,0.375,36.9
268.0,0,0.625,36.9
224.0,1,0.625,36.9
205.0,0,0.875,36.9
109.0,1,0.875,36.9
98.0,0,-0.875,49.2
129.0,1,-0.875,49.2
150.0,0,-0.625,49.2
192.0,1,-0.625,49.2
197.0,0,-0.375,49.2
242.0,1,-0.375,49.2
239.0,0,-0.125,49.2
313.0,1,-0.125,49.2
252.0,0,0.125,49.2
281.0,1,0.125,49.2
215.0,0,0.375,49.2
226.0,1,0.375,49.2
177.0,0,0.625,49.2
139.0,1,0.625,49.2
112.0,0,0.875,49.2
58.0,1,0.875,49.2
