# ice_absorption,ice_scattering,offset,opt_eff_headon,opt_eff_lateral,opt_eff_overall,coin_fraction,pid,reco_coszen,reco_energy
-0.684619,3.445950,1.032518,-0.092257,0.001684,0.148982,0.019318,0,-0.900,6.6
0.047528,1.502869,0.952732,-0.035936,-0.000043,0.687208,0.013543,0,-0.700,6.6
0.444569,0.690408,0.942534,-0.023651,0.002609,1.223146,-0.010592,0,-0.500,6.6
0.023707,1.351821,1.064380,-0.032232,0.006530,0.944362,-0.054268,0,-0.300,6.6
0.160291,-0.322694,1.019765,-0.026886,-0.001070,0.969135,0.001707,0,-0.100,6.6
0.404066,0.107253,0.993580,0.007885,0.006219,0.940386,0.002146,0,0.100,6.6
-0.087152,-0.903675,1.010851,0.028427,0.000837,0.425595,-0.010881,0,0.300,6.6
0.042031,-0.881237,0.959328,0.035806,-0.000590,0.677492,0.049737,0,0.500,6.6
-0.251687,-0.621676,1.017669,0.050088,-0.000868,0.842902,0.089323,0,0.700,6.6
-0.219385,-1.213324,1.017674,0.033252,-0.005927,0.452543,0.007914,0,0.900,6.6
-0.209001,2.170536,1.011118,-0.044479,0.004600,0.765943,-0.041049,0,-0.900,8.7
0.027637,0.053280,1.005694,-0.034835,-0.003431,0.624785,0.109977,0,-0.700,8.7
0.089681,0.834073,0.999450,-0.021640,0.000019,0.845614,0.019008,0,-0.500,8.7
-0.123169,0.419371,0.945556,-0.014416,0.001415,0.875682,0.060066,0,-0.300,8.7
-0.125344,0.601418,1.010607,-0.024351,-0.004892,0.849579,-0.007514,0,-0.100,8.7
-0.178186,0.210703,1.007413,-0.001858,0.003424,0.755702,0.041531,0,0.100,8.7
0.222214,-0.140877,1.008297,0.020461,0.000204,0.944688,0.054789,0,0.300,8.7
-0.234906,0.069833,0.945152,0.027224,-0.000474,0.750833,-0.009008,0,0.500,8.7
-0.109859,-0.377333,0.992034,0.034252,-0.001667,0.807633,-0.048299,0,0.700,8.7
0.012082,-0.861383,0.991181,0.028517,-0.009652,0.884200,0.010390,0,0.900,8.7
-0.850620,2.822047,0.990608,-0.045314,0.002599,0.595305,-0.107438,0,-0.900,11.7
0.516895,1.703618,0.974447,-0.031353,-0.005518,-0.200096,0.165279,1,-0.900,11.7
0.051066,1.320176,0.982612,-0.030577,0.007890,1.144482,-0.011184,0,-0.700,11.7
-1.021591,1.043032,1.068648,-0.021871,0.017007,0.922477,-0.175184,1,-0.700,11.7
-0.425988,0.888396,0.940616,-0.048082,0.004027,0.784735,0.046982,0,-0.500,11.7
-0.486881,-0.167339,0.984494,-0.003692,0.002803,0.709979,-0.101384,1,-0.500,11.7
-0.233838,0.770674,0.982989,-0.025270,-0.000284,0.948468,-0.050213,0,-0.300,11.7
0.306653,-1.438577,0.941699,-0.012639,0.010450,0.208480,0.091603,1,-0.300,11.7
0.250454,0.338624,1.024174,-0.012162,-0.002829,0.656743,-0.007947,0,-0.100,11.7
-0.717448,0.613215,1.028562,0.003737,0.005615,0.809107,0.019806,1,-0.100,11.7
0.093574,-0.000918,0.957853,0.002937,0.000224,0.997179,0.002744,0,0.100,11.7
-0.002867,0.472242,1.058163,0.004535,0.008435,1.169332,-0.089842,1,0.100,11.7
0.031636,-0.139444,0.972981,0.013406,-0.005142,0.608685,-0.011004,0,0.300,11.7
0.084540,-0.217064,1.033424,0.026922,0.001663,1.377630,-0.072074,1,0.300,11.7
0.048485,-0.827688,0.974209,0.024328,-0.002014,0.890112,0.035349,0,0.500,11.7
0.263907,-0.822578,0.911026,0.053958,0.000917,1.182867,0.016721,1,0.500,11.7
0.538236,-1.292549,1.035727,0.029712,-0.004475,0.643533,0.025685,0,0.700,11.7
-0.673648,-2.359193,0.972109,0.032597,0.019359,0.106141,0.076788,1,0.700,11.7
-0.013251,-1.312427,0.994127,0.042893,-0.002628,0.863223,0.009344,0,0.900,11.7
-0.357609,0.609510,0.976282,0.079047,-0.008669,0.960761,-0.106302,1,0.900,11.7
-0.062570,0.993962,1.002972,-0.045397,0.010510,0.695788,0.035403,0,-0.900,15.6
-1.256302,0.380507,0.817365,-0.006889,0.002027,0.783090,-0.084268,1,-0.900,15.6
0.163107,0.628949,1.000408,-0.045690,0.003022,0.796125,0.061316,0,-0.700,15.6
-1.491771,2.587031,1.135054,0.046571,0.008652,1.368469,-0.005463,1,-0.700,15.6
0.298639,-0.123221,1.003911,-0.030091,0.001205,0.700103,0.070610,0,-0.500,15.6
-0.568506,0.826464,1.008854,-0.014352,-0.003724,0.856924,0.271794,1,-0.500,15.6
-0.073498,0.636920,0.985196,-0.012485,0.011987,0.645758,-0.071484,0,-0.300,15.6
0.217114,-0.726621,1.019271,-0.018507,0.011416,0.632395,0.096209,1,-0.300,15.6
0.049902,0.080446,0.992627,-0.005664,-0.000378,1.212595,-0.019616,0,-0.100,15.6
-0.995684,-0.186730,0.965891,0.003791,0.005929,1.337606,0.073493,1,-0.100,15.6
-0.128336,-0.123232,0.994756,-0.000168,-0.001528,0.907553,0.024589,0,0.100,15.6
-0.201990,-0.233532,0.990692,-0.004567,-0.001042,0.369287,-0.061341,1,0.100,15.6
-0.204851,-0.199405,1.013666,0.009765,0.000169,0.839212,-0.009722,0,0.300,15.6
-0.229315,0.507658,1.060482,0.013589,-0.007503,1.433867,-0.096626,1,0.300,15.6
0.282508,-1.223673,1.026952,0.022786,-0.002004,1.160520,-0.011131,0,0.500,15.6
-1.186701,1.358002,0.992532,0.039013,0.006689,0.455431,-0.154079,1,0.500,15.6
0.151290,-0.465371,0.976428,0.034004,-0.001422,0.606621,-0.066894,0,0.700,15.6
-0.116914,-2.466894,0.953336,0.043489,-0.009751,0.779456,0.019968,1,0.700,15.6
0.378718,-1.059976,0.989892,0.043678,-0.005592,0.816555,0.012887,0,0.900,15.6
-0.667838,-1.091987,1.049610,0.073418,0.018323,0.107472,-0.166537,1,0.900,15.6
-0.255536,1.672961,0.963508,-0.040063,0.003986,0.598500,0.008057,0,-0.900,20.7
-0.631485,1.635630,1.024142,-0.033984,0.013335,0.314190,0.120420,1,-0.900,20.7
-0.310703,0.739780,0.984158,-0.033015,0.004403,0.992460,0.041343,0,-0.700,20.7
-0.530132,1.561916,0.887063,-0.032213,-0.011730,0.995534,-0.029422,1,-0.700,20.7
-0.497012,0.932892,1.023046,-0.049189,0.000061,0.638675,-0.054716,0,-0.500,20.7
-0.772969,0.635089,0.938086,-0.015966,-0.000208,0.612317,-0.006851,1,-0.500,20.7
-0.503078,1.195718,0.994549,-0.004159,0.007111,0.948064,-0.029778,0,-0.300,20.7
-1.823077,1.082889,0.990477,-0.015776,0.014116,-0.243741,-0.117357,1,-0.300,20.7
-0.070458,-0.071884,0.944002,-0.000855,-0.001849,0.610752,0.021533,0,-0.100,20.7
