# ice_absorption,ice_scattering,offset,opt_eff_headon,opt_eff_lateral,opt_eff_overall,coin_fraction,pid,reco_coszen,reco_energy
0.154008,0.904646,1.006925,-0.022266,0.006523,0.713837,0.035315,0,-0.900,6.6
0.515760,0.354362,0.987321,-0.030463,0.005080,0.691215,0.037820,0,-0.700,6.6
0.319100,-0.087905,1.013290,-0.036365,0.002964,0.865522,0.011624,0,-0.500,6.6
0.221174,-0.369215,1.010571,-0.022341,0.004095,0.712911,0.059529,0,-0.300,6.6
0.006460,-0.019105,0.989878,-0.006384,-0.000036,0.870978,0.027890,0,-0.100,6.6
0.004511,-0.204520,1.004646,0.000400,0.000136,0.958314,-0.015631,0,0.100,6.6
0.226752,-0.377367,0.977890,0.014956,-0.002314,0.827493,0.014728,0,0.300,6.6
0.027815,-0.586293,0.987282,0.028067,-0.001041,0.764510,-0.019090,0,0.500,6.6
-0.328471,-0.364243,0.989175,0.033258,-0.004374,0.751737,-0.012997,0,0.700,6.6
-0.207706,-0.500407,1.012363,0.038001,-0.002937,0.810049,-0.013300,0,0.900,6.6
-0.131667,1.000214,0.988228,-0.035169,0.005639,0.752234,0.041346,0,-0.900,8.7
0.103973,0.660759,0.994911,-0.034164,0.006862,0.740529,-0.006474,0,-0.700,8.7
0.016892,0.297381,0.980429,-0.027233,0.003975,0.841565,-0.030429,0,-0.500,8.7
-0.018768,-0.038790,1.005100,-0.015145,0.001076,0.714846,0.006134,0,-0.300,8.7
0.215694,-0.130882,1.000368,-0.009815,0.000376,0.743351,-0.015741,0,-0.100,8.7
0.015511,-0.230132,0.987789,0.001616,-0.001326,0.758969,0.015796,0,0.100,8.7
-0.037901,-0.250675,0.985125,0.013575,-0.001478,0.776273,-0.000656,0,0.300,8.7
0.035287,-0.361056,0.999521,0.026337,-0.000277,0.926376,-0.005820,0,0.500,8.7
-0.055274,-0.483228,1.009282,0.028217,-0.003453,0.925173,0.028571,0,0.700,8.7
-0.106709,-0.591296,0.987949,0.029870,-0.005294,0.676707,-0.015518,0,0.900,8.7
0.007386,0.889745,1.010699,-0.033002,0.006098,0.984909,-0.051669,0,-0.900,11.7
-0.079848,1.417430,0.987639,-0.010478,-0.000081,0.925811,-0.006952,1,-0.900,11.7
0.116609,0.330583,1.014723,-0.025518,0.003331,0.720154,-0.018988,0,-0.700,11.7
0.277417,0.466142,0.970000,-0.009111,0.000626,0.485736,0.073163,1,-0.700,11.7
-0.190214,0.568201,0.995279,-0.020570,0.003093,0.837048,-0.025402,0,-0.500,11.7
-0.074315,-0.155655,0.988516,-0.013412,-0.000221,0.406719,-0.015336,1,-0.500,11.7
-0.012517,0.333657,0.999778,-0.009185,0.000783,0.794684,0.012988,0,-0.300,11.7
0.132083,0.324758,0.961084,-0.026920,-0.000081,0.379643,-0.042896,1,-0.300,11.7
0.000811,-0.147969,1.006041,-0.015997,0.002680,0.763739,-0.015988,0,-0.100,11.7
0.218653,-0.033905,1.014286,-0.012000,0.000285,0.410628,0.027319,1,-0.100,11.7
0.113079,-0.255026,0.996387,-0.001410,-0.001283,0.825185,-0.003711,0,0.100,11.7
0.366970,-0.347156,0.972355,0.010494,-0.004084,0.368892,0.031369,1,0.100,11.7
0.194354,-0.138501,0.995155,0.015357,-0.001838,0.872854,0.000242,0,0.300,11.7
0.211119,0.255963,1.014082,0.019868,0.000937,0.595198,-0.034611,1,0.300,11.7
-0.174764,-0.306865,0.999702,0.027538,-0.001802,1.043017,-0.015183,0,0.500,11.7
-0.340253,0.261248,1.006815,0.028672,0.001377,0.732106,-0.073603,1,0.500,11.7
-0.146055,-0.892943,0.974289,0.022780,-0.003056,0.980393,0.014567,0,0.700,11.7
-0.016687,-0.604356,1.015088,0.022813,-0.007120,0.833121,-0.041021,1,0.700,11.7
-0.110816,-0.800108,0.988000,0.025987,-0.003375,0.784258,-0.000367,0,0.900,11.7
-0.081861,-1.260630,0.997527,0.034988,-0.005121,0.567348,0.005004,1,0.900,11.7
-0.274760,1.010866,0.982221,-0.030539,0.007608,1.187111,0.011581,0,-0.900,15.6
0.136885,0.485315,1.037807,-0.024058,-0.000008,0.329361,-0.005295,1,-0.900,15.6
-0.061675,0.648574,0.989854,-0.026671,0.003148,1.140154,-0.020858,0,-0.700,15.6
-0.195537,0.336475,0.990325,-0.024579,0.000925,0.399355,0.008583,1,-0.700,15.6
-0.147204,0.443227,0.991712,-0.026909,0.001880,1.050690,0.000718,0,-0.500,15.6
0.140281,0.343021,1.022808,-0.014264,0.001308,0.414502,-0.033039,1,-0.500,15.6
-0.233547,0.360157,1.003055,-0.010284,-0.000041,0.909410,0.006095,0,-0.300,15.6
0.313955,-0.339902,0.981331,-0.005440,0.000721,0.328807,-0.010193,1,-0.300,15.6
0.039368,0.063708,0.981809,-0.006238,0.001431,0.874116,-0.029318,0,-0.100,15.6
0.392908,-0.544665,0.973228,-0.007697,0.000662,0.158015,0.015395,1,-0.100,15.6
-0.070801,-0.140864,1.015032,0.004483,0.000492,0.983009,-0.030070,0,0.100,15.6
0.465820,-0.579467,0.999047,0.005222,-0.000306,0.072881,-0.000984,1,0.100,15.6
-0.054523,-0.377719,0.997102,0.018495,-0.002424,0.988593,-0.010235,0,0.300,15.6
-0.066847,-0.205583,1.013215,0.013492,0.003952,0.087148,-0.018925,1,0.300,15.6
-0.223368,-0.122714,1.010238,0.020963,-0.001470,1.055845,-0.016003,0,0.500,15.6
-0.163314,-0.489832,1.008994,0.015190,0.000379,0.295746,-0.013830,1,0.500,15.6
-0.554206,-0.344922,0.996065,0.024370,-0.003457,1.197069,-0.023249,0,0.700,15.6
-0.560460,-0.718760,1.000692,0.023300,-0.003205,1.023684,-0.017573,1,0.700,15.6
-0.402679,-0.496854,1.017491,0.023873,-0.005779,1.371057,0.010300,0,0.900,15.6
-0.288441,-0.974115,1.005932,0.021911,-0.003935,1.095276,-0.042749,1,0.900,15.6
-0.163267,1.220606,0.974382,-0.028636,0.002080,1.319806,-0.003394,0,-0.900,20.7
-0.368651,0.791868,0.986015,-0.017569,0.005782,0.475076,0.008115,1,-0.900,20.7
-0.262369,0.964880,0.994798,-0.027070,0.004517,1.238638,-0.022839,0,-0.700,20.7
0.156988,0.336346,0.977311,-0.007191,0.001752,0.675840,0.008985,1,-0.700,20.7
-0.367195,0.764290,1.019031,-0.021949,0.004669,0.956562,-0.045592,0,-0.500,20.7
-0.056737,0.133754,0.987133,-0.017688,0.001269,0.433752,0.027592,1,-0.500,20.7
-0.153551,0.326739,0.998253,-0.012279,0.002558,1.282852,-0.002561,0,-0.300,20.7
