# pdg,pid,reco_coszen,reco_energy,true_energy,true_coszen,weight
13,0,0.100,27.7,198.784022,0.390513,1.111110e-08
13,0,0.900,20.7,246.807169,0.346693,1.454042e-08
13,0,0.700,15.6,254.985959,0.499808,2.613824e-08
13,1,-0.300,20.7,215.390757,0.565207,3.900649e-08
13,1,0.700,49.2,241.321291,0.266086,3.987789e-09
13,1,0.900,49.2,296.562694,0.726233,4.118085e-08
13,0,-0.100,27.7,218.658135,0.595923,3.714000e-08
13,1,0.300,36.9,229.221352,0.464924,2.353051e-08
13,1,-0.300,20.7,239.413131,0.654837,3.679382e-08
13,1,0.500,36.9,209.901027,0.541300,2.957611e-08
13,0,-0.300,15.6,244.220472,0.652445,3.422548e-08
13,0,-0.500,15.6,275.837222,0.654332,4.107551e-08
13,0,0.500,36.9,297.106568,0.629759,3.549011e-08
13,0,0.500,27.7,259.005954,0.614480,3.018769e-08
13,0,0.700,36.9,262.215259,0.560488,2.891748e-08
13,0,-0.500,15.6,226.261271,0.649112,4.401212e-08
13,0,0.700,11.7,179.667907,0.552987,2.693583e-08
13,0,0.100,27.7,259.710048,0.493157,2.478799e-08
13,0,0.500,27.7,261.020657,0.589188,3.092264e-08
13,0,0.700,15.6,260.794170,0.616415,3.287570e-08
13,0,0.300,11.7,347.180395,0.981420,7.553511e-08
13,0,0.300,36.9,230.780114,0.478178,2.462760e-08
13,1,0.700,36.9,235.346118,0.659780,2.998894e-08
13,0,-0.300,11.7,213.704039,0.635088,3.753144e-08
13,0,0.900,15.6,202.541932,0.513242,2.736795e-08
13,0,-0.500,49.2,267.064085,0.649593,3.577396e-08
13,1,0.500,27.7,252.057643,0.561703,3.502887e-08
13,0,-0.300,36.9,207.553762,0.364203,1.819626e-08
13,1,0.900,15.6,238.753814,0.635355,2.979186e-08
13,1,-0.500,15.6,276.808833,0.670346,3.968369e-08
13,1,0.700,15.6,209.200934,0.451823,2.268667e-08
13,0,0.300,36.9,195.692363,0.518569,2.825952e-08
13,1,0.900,27.7,276.755155,0.507159,2.491587e-08
13,1,0.100,27.7,257.908587,0.606773,3.713423e-08
13,1,0.500,49.2,248.861605,0.582660,3.262466e-08
13,0,0.500,15.6,204.536549,0.474202,1.876530e-08
13,0,0.300, 8.7,202.089708,0.497973,2.921851e-08
13,1,0.700,20.7,237.332932,0.261736,3.632679e-09
13,0,0.700,15.6,427.763761,0.704911,3.906693e-08
13,1,0.500,36.9,224.250027,0.326350,1.346622e-08
13,0,0.900,49.2,341.346142,0.500453,2.086617e-08
13,1,0.900,15.6,231.722926,0.408801,1.849306e-08
13,0,0.500,36.9,198.370876,0.407717,1.696552e-08
13,1,0.900,49.2,252.426236,0.770811,5.193315e-08
13,1,0.100,11.7,226.936987,0.635253,2.854563e-08
13,0,-0.700,27.7,211.439542,0.714367,3.775049e-08
13,1,0.300,27.7,192.828842,0.402540,1.769596e-08
13,1,0.900,27.7,264.020467,0.720132,4.338309e-08
13,1,0.900,27.7,204.014917,0.534755,2.321327e-08
13,0,-0.700,11.7,215.037084,0.605086,3.541522e-08
13,0,-0.100,20.7,245.455322,0.691520,3.923582e-08
13,1,0.500,49.2,237.174518,0.527938,2.310213e-08
13,1,0.500,36.9,240.680178,0.624994,2.866267e-08
13,0,0.500,20.7,221.411382,0.629118,3.654124e-08
13,0,-0.300,11.7,217.525195,0.538191,3.208227e-08
13,0,-0.700,49.2,279.726673,0.493980,2.905253e-08
13,1,0.100,49.2,214.530405,0.341594,1.413549e-08
13,0,0.100,49.2,232.621546,0.557524,2.230429e-08
13,1,0.500,36.9,240.037922,0.446960,2.751355e-08
13,0,0.700,36.9,246.935432,0.461006,2.489877e-08
13,1,0.100,36.9,187.996508,0.289274,8.794976e-09
13,0,0.500,20.7,405.263811,0.483282,2.849875e-08
13,0,0.700,27.7,236.257241,0.449630,2.346804e-08
13,1,0.500,49.2,320.291924,0.611064,2.682951e-08
13,1,0.500,36.9,216.114199,0.572237,2.690643e-08
13,0,0.300,27.7,264.270273,0.684512,3.636129e-08
13,0,0.100,20.7,215.758909,0.453943,2.529019e-08
13,1,0.900,36.9,298.327978,0.816741,6.267932e-08
13,0,-0.700,15.6,188.862887,0.345557,1.550910e-08
13,1,0.300,49.2,254.410892,0.453978,2.600194e-08
13,0,0.100,15.6,224.832440,0.518102,2.892961e-08
13,0,-0.100, 6.6,223.098703,0.673340,3.765132e-08
13,1,0.500,20.7,253.017380,0.713044,4.279085e-08
13,0,0.900,27.7,269.099766,0.693095,4.035779e-08
13,0,0.500,36.9,245.015286,0.506878,2.557264e-08
13,0,0.500,11.7,233.493777,0.299997,5.276783e-09
13,0,-0.900,27.7,181.489152,0.348159,1.601456e-08
13,0,0.300,36.9,205.345301,0.382938,1.727820e-08
13,0,0.900,27.7,201.600629,0.555630,3.031324e-08
13,0,0.900,20.7,304.431596,0.824570,6.499001e-08
13,1,0.900,27.7,426.277250,0.759599,4.059610e-08
13,0,0.100, 8.7,186.292833,0.468697,1.927341e-08
13,1,0.700,20.7,342.234429,0.718258,3.350248e-08
